Study_ID,Title,Taxon,Figure7_setting,Population_basis,Post_search_report,Strict_status,Classification_note
B1-020A,"Influence of polystyrene microplastics on rotifer (Brachionus calyciflorus) growth, reproduction, and antioxidant responses",Rotifer,Laboratory,Specific growth rate; reproductive rate,No,Strict particle-specific paired evidence,"Independent units are clear for each assay, but biomarker and apical endpoints were measured in separate cohorts at different times; no figure values were visually estimated."
B1-056,Comparative impacts of fragmented versus spherical microplastics on the marine rotifer Brachionus koreanus: Multigenerational chronic toxicity and multi-omics perspective,Rotifer,Laboratory,Time to first egg; time to first reproduction; fecundity; lifespan; population-relevant multigeneration toxicity,No,Strict particle-specific paired evidence,"PP is used only for fragments and PE only for beads, so the claimed shape contrast cannot be separated from polymer. Omics and chronic life-history tests are separate experiments."
B1-104,"Changes in life-history traits, antioxidant defense, energy metabolism and molecular outcomes in the cladoceran Daphnia pulex after exposure to polystyrene microplastics",Crustacean,Laboratory,Survival/lifespan; body length; reproduction; population growth,No,Strict particle-specific paired evidence,"Independent units are beakers, not the plotted number of sampled organisms. Life-history and biomarker cohorts were separate, so mechanistic-apical linkage is cohort-level."
B1-106,Alleviation of Tris(2-chloroethyl) Phosphate Toxicity on the Marine Rotifer Brachionus plicatilis by Polystyrene Microplastics: Features and Molecular Evidence,Rotifer,Laboratory,Lifespan/survival; reproduction; population carrying capacity,No,Strict particle-specific paired evidence,"Particle-only and TCEP co-exposure strata must remain separate. The n=12 figure notation reflects organisms per condition, whereas the independent experimental-unit count is three wells."
B1-112,"The thermal regime modifies the response of aquatic keystone species Daphnia to microplastics: Evidence from population fitness, accumulation, histopathological analysis and candidate gene expression",Crustacean,Laboratory,Longevity/survival; net reproduction; intrinsic population growth,No,Strict particle-specific paired evidence,"Temperature is an effect modifier, not a contaminant. Within-temperature particle contrasts are primary, but no variance-complete arm means are printed."
B1-128,"Microplastic Size-Dependent Toxicity, Oxidative Stress Induction, and p-JNK and p-p38 Activation in the Monogonont Rotifer (Brachionus koreanus)",Rotifer,Laboratory,Population growth; fecundity; lifespan; reproduction time,No,Strict particle-specific paired evidence,"Life-history Methods state 12-d exposures, whereas captions for Figs. 1-2 state 24 h. Exact printed reproduction-time means were retained with the duration inconsistency flagged; no error-bar values were inferred."
B1-139,Intergenerational and biological effects of roxithromycin and polystyrene microplastics to Daphnia magna,Crustacean,Laboratory,Survival; offspring number; first-brood timing; intrinsic population-growth rate,No,Strict particle-specific paired evidence,"Ten one-animal beakers provide clear chronic replication. Most plots report SEM, while the statistical section ambiguously states mean ± SD (Standard Error of mean) and Fig. 9 reports SD. No plotted value was visually estimated."
B1-166,Impacts and transport of microplastics: Population dynamics in frogs and the transfer between aquatic and terrestrial ecosystems,Amphibian,Laboratory,"Hatching; larval survival; metamorphosis; modeled population size, lambda and extinction risk",Yes,Contextual / non-strict evidence,"This is a rare population-level study, but the extreme log-rank statistic suggests individual eggs were treated as independent despite nine clutch/tank replicates. Population and cross-ecosystem effects are simulation outputs rather than direct field observations."
B1-047,Size over substance: Microplastic particle size drives gene expression and fitness loss in a freshwater insect,Aquatic insect,Microcosm,Mortality; emergence time; fertility; daily population growth rate,No,Strict particle-specific paired evidence,"All adults from five bowls were combined into one reproduction cage per treatment, limiting independence for fertility and PGR despite bowl-level larval replication."
B1-171,"Microplastics influence physiological processes, growth and reproduction in the Manila clam, Ruditapes philippinarum",Mollusc,Other or unclear,"Growth and reproduction, including DEB-model projections",No,Strict particle-specific paired evidence,Legacy Study_ID B2-026. The 200-day growth and reproduction consequences are DEB model projections rather than direct long-term observations.
